GOLD TO USD SPOT RATE FROM BLOOMBERG,,,,
Date,Open,High,Low,Close
2019-09-23,1513.4,1526.89,1511.11,1522.24
2019-09-20,1499.03,1517.14,1498.03,1516.9
2019-09-19,1494,1504.55,1489.03,1499.03
2019-09-18,1501.38,1511.56,1483.49,1494
2019-09-17,1498.43,1507.15,1493.54,1501.38
2019-09-16,1503.79,1512.14,1496.01,1498.43
2019-09-13,1499.26,1509.07,1485.89,1488.53
2019-09-12,1497.2,1524.27,1489.3,1499.26
2019-09-11,1485.78,1498.3,1485.25,1497.2
2019-09-10,1499.13,1501.04,1484.65,1485.78
2019-09-09,1508.29,1515.58,1497.71,1499.13
2019-09-06,1519.05,1527.99,1502.65,1506.82
2019-09-05,1552.55,1554.11,1506.36,1519.05
2019-09-04,1547.1,1557.11,1533.93,1552.55
2019-09-03,1529.29,1549.81,1521.8,1547.1
2019-09-02,1521.71,1534.09,1519.32,1529.29
2019-08-30,1527.62,1533.17,1517.06,1520.38
2019-08-29,1539.01,1550.46,1519.86,1527.63
2019-08-28,1542.81,1546.94,1532.05,1539.01
2019-08-27,1527.31,1544.72,1525.78,1542.81
2019-08-26,1535.34,1555.07,1525.11,1527.31
2019-08-23,1498.06,1530.32,1493.58,1526.96
2019-08-22,1502.65,1504.65,1492.57,1498.06
2019-08-21,1507.2,1508.49,1496.6,1502.65
2019-08-20,1495.89,1508.66,1493,1507.2
2019-08-19,1511.72,1513.06,1493.32,1495.92
2019-08-16,1523.29,1528.1,1503.77,1513.52
2019-08-15,1516.38,1527.13,1508.07,1523.29
2019-08-14,1501.51,1524.13,1494.16,1516.36
2019-08-13,1511.16,1535.11,1480,1501.51
2019-08-12,1497.39,1520.04,1487.48,1511.16
2019-08-09,1500.95,1509.17,1494.88,1496.95
2019-08-08,1501.19,1509.63,1490.13,1500.95
2019-08-07,1474.42,1510.46,1472.36,1501.16
2019-08-06,1463.69,1474.93,1456.54,1474.42
2019-08-05,1440.6,1469.82,1436.8,1463.7
2019-08-02,1445.13,1448.4,1430.46,1440.83
2019-08-01,1413.76,1446.06,1400.58,1445.18
2019-07-31,1430.88,1434.82,1410.69,1413.78
2019-07-30,1426.8,1433.35,1422.38,1430.88
2019-07-29,1419.55,1428.21,1414.86,1426.8
2019-07-26,1414.58,1424.91,1413.66,1418.9
2019-07-25,1425.86,1433.84,1411.18,1414.58
2019-07-24,1417.81,1429.6,1416.39,1425.86
2019-07-23,1424.88,1430.23,1414.28,1417.83
2019-07-22,1425.11,1430.07,1422.28,1424.88
2019-07-19,1446.12,1453.09,1420.23,1425.37
2019-07-18,1426.55,1448.16,1414.73,1446.1
2019-07-17,1406.15,1426.86,1400.14,1426.57
2019-07-16,1414.15,1418.35,1401.08,1406.23
2019-07-15,1415.86,1419.79,1407.81,1414.13
2019-07-12,1403.81,1416.96,1403.22,1415.75
2019-07-11,1419,1427.23,1401.6,1403.81
2019-07-10,1397.61,1419.02,1390,1419.02
2019-07-09,1395.52,1400.07,1385.87,1397.61
2019-07-08,1398.98,1407.67,1391.84,1395.53
2019-07-05,1416.08,1424.3,1386.8,1399.45
2019-07-04,1418.78,1421.75,1410.34,1416.08
2019-07-03,1418.65,1437.88,1412.1,1418.78
2019-07-02,1384.18,1419.77,1383.34,1418.65
2019-07-01,1394.95,1397.87,1381.9,1384.19
2019-06-28,1409.75,1424.72,1405.78,1409.55
2019-06-27,1408.99,1412.21,1398.77,1409.78
2019-06-26,1423.44,1425.65,1402.06,1409
2019-06-25,1419.72,1439.21,1411.96,1423.44
2019-06-24,1399.55,1421.45,1399.55,1419.72
2019-06-21,1388.44,1411.63,1382.62,1399.63
2019-06-20,1360.38,1394.11,1357.73,1388.44
2019-06-19,1346.61,1362.71,1341.45,1360.38
2019-06-18,1339.66,1354.67,1338.7,1346.61
2019-06-17,1342.04,1343.6,1333.09,1339.66
2019-06-14,1342.31,1358.26,1337.85,1341.7
2019-06-13,1333.59,1343.22,1332.43,1342.31
2019-06-12,1326.84,1338.46,1326.1,1333.58
2019-06-11,1327.98,1329.94,1319.94,1326.84
2019-06-10,1340.94,1340.94,1325.2,1327.98
2019-06-07,1335.35,1348.31,1330.34,1340.86
2019-06-06,1330.32,1339.85,1327.31,1335.33
2019-06-05,1325.52,1344.16,1324.48,1330.32
2019-06-04,1325.31,1329.14,1320.05,1325.52
2019-06-03,1306.39,1328.04,1306.16,1325.31
2019-05-31,1288.66,1307,1288.05,1305.58
2019-05-30,1279.78,1289.31,1275.05,1288.65
2019-05-29,1279.33,1285.61,1279.19,1279.78
2019-05-28,1285.17,1286.7,1276.21,1279.33
2019-05-27,1284.71,1287.47,1283.87,1285.36
2019-05-24,1283.45,1285.55,1280.83,1284.93
2019-05-23,1273.31,1287.35,1272.81,1283.45
2019-05-22,1274.71,1277.36,1272.54,1273.34
2019-05-21,1277.82,1278.99,1269.58,1274.68
2019-05-20,1277.53,1279.06,1273.71,1277.82
2019-05-17,1286.72,1288.99,1274.93,1277.53
2019-05-16,1296.47,1298.82,1284.16,1286.72
2019-05-15,1296.92,1300.94,1293.1,1296.49
2019-05-14,1299.91,1303.41,1293.81,1296.92
2019-05-13,1286.52,1301.35,1282.02,1299.91
2019-05-10,1284.08,1289.51,1283.2,1286.05
2019-05-09,1280.88,1288.29,1279.7,1284.08
2019-05-08,1284.43,1291.56,1279.43,1280.88
2019-05-07,1281.1,1286.24,1278.25,1284.43
2019-05-06,1279.67,1285.86,1277.1,1281.1
2019-05-03,1270.68,1282.62,1268.68,1279.11
