,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
175,2016-06-22,1282.3578950749618,1261.26201935301,1324.7335398970586,1282.3578950749618,1282.3578950749618,10.020355339156463,10.020355339156463,10.020355339156463,-9.487546814364563,-9.487546814364563,-9.487546814364563,19.507902153521027,19.507902153521027,19.507902153521027,0.0,0.0,0.0,1292.3782504141182
176,2016-06-23,1282.2089158709528,1263.4434265339169,1325.624582925566,1282.2089158709528,1282.2089158709528,11.708324710501406,11.708324710501406,11.708324710501406,-9.2139604708807,-9.2139604708807,-9.2139604708807,20.922285181382104,20.922285181382104,20.922285181382104,0.0,0.0,0.0,1293.917240581454
177,2016-06-24,1282.059936666944,1264.2214071073765,1326.462125442834,1282.059936666944,1282.059936666944,13.87053937514537,13.87053937514537,13.87053937514537,-8.333847159742033,-8.333847159742033,-8.333847159742033,22.2043865348874,22.2043865348874,22.2043865348874,0.0,0.0,0.0,1295.9304760420894
178,2016-06-27,1281.612999054917,1264.8964789999338,1328.7461692657812,1281.612999054917,1281.612999054917,16.328597077092102,16.328597077092102,16.328597077092102,-8.87709345887891,-8.87709345887891,-8.87709345887891,25.205690535971012,25.205690535971012,25.205690535971012,0.0,0.0,0.0,1297.9415961320092
179,2016-06-28,1281.4640198509082,1268.2499124617907,1332.0993022813066,1281.4640198509082,1281.4640198509082,16.458810059086577,16.458810059086577,16.458810059086577,-9.467416299060556,-9.467416299060556,-9.467416299060556,25.926226358147133,25.926226358147133,25.926226358147133,0.0,0.0,0.0,1297.9228299099948
180,2016-06-29,1281.3150406468994,1266.4748310898258,1330.463268886101,1281.3150406468994,1281.3150406468994,17.029912595677835,17.029912595677835,17.029912595677835,-9.487546814364274,-9.487546814364274,-9.487546814364274,26.517459410042107,26.517459410042107,26.517459410042107,0.0,0.0,0.0,1298.3449532425773
181,2016-06-30,1281.1660614428902,1265.6660365577586,1332.182313879323,1281.1660614428902,1281.1660614428902,17.777591293361002,17.777591293361002,17.777591293361002,-9.21396047086123,-9.21396047086123,-9.21396047086123,26.99155176422223,26.99155176422223,26.99155176422223,0.0,0.0,0.0,1298.9436527362511
182,2016-07-01,1281.0170822388814,1267.744551331936,1329.4459790589137,1281.0170822388814,1281.0170822388814,19.030421247455276,19.030421247455276,19.030421247455276,-8.333847159719983,-8.333847159719983,-8.333847159719983,27.36426840717526,27.36426840717526,27.36426840717526,0.0,0.0,0.0,1300.0475034863366
183,2016-07-04,1280.5701446268545,1267.6455733751316,1330.3680096374992,1280.5701446268545,1280.5701446268545,19.201618915691522,19.201618915691522,19.201618915691522,-8.877093458900852,-8.877093458900852,-8.877093458900852,28.07871237459237,28.07871237459237,28.07871237459237,0.0,0.0,0.0,1299.771763542546
184,2016-07-05,1280.4211654228457,1267.4021888725374,1330.3514636600191,1280.4211654228457,1280.4211654228457,18.79548362687394,18.79548362687394,18.79548362687394,-9.467416299079416,-9.467416299079416,-9.467416299079416,28.262899925953356,28.262899925953356,28.262899925953356,0.0,0.0,0.0,1299.2166490497195
185,2016-07-06,1280.2721862188369,1264.8864591636782,1331.148974231065,1280.2721862188369,1280.2721862188369,18.977122015970693,18.977122015970693,18.977122015970693,-9.487546814364372,-9.487546814364372,-9.487546814364372,28.464668830335064,28.464668830335064,28.464668830335064,0.0,0.0,0.0,1299.2493082348076
186,2016-07-07,1280.1232070148278,1266.6410332292107,1331.6742155286704,1280.1232070148278,1280.1232070148278,19.498012650483606,19.498012650483606,19.498012650483606,-9.213960470856865,-9.213960470856865,-9.213960470856865,28.71197312134047,28.71197312134047,28.71197312134047,0.0,0.0,0.0,1299.6212196653114
187,2016-07-08,1279.9742278108188,1267.2149550703996,1331.6787087447246,1279.9742278108188,1279.9742278108188,20.6987666383562,20.6987666383562,20.6987666383562,-8.33384715969793,-8.33384715969793,-8.33384715969793,29.032613798054125,29.032613798054125,29.032613798054125,0.0,0.0,0.0,1300.672994449175
188,2016-07-11,1279.5272901987921,1270.0374708128766,1331.8540842089737,1279.5272901987921,1279.5272901987921,21.818288425759444,21.818288425759444,21.818288425759444,-8.87709345885435,-8.87709345885435,-8.87709345885435,30.69538188461379,30.69538188461379,30.69538188461379,0.0,0.0,0.0,1301.3455786245515
189,2016-07-12,1279.378310994783,1269.4871800641008,1332.5634313073474,1279.378310994783,1279.378310994783,22.09224396069901,22.09224396069901,22.09224396069901,-9.46741629905955,-9.46741629905955,-9.46741629905955,31.559660259758562,31.559660259758562,31.559660259758562,0.0,0.0,0.0,1301.4705549554822
190,2016-07-13,1279.229331790774,1270.246120525473,1334.911329607655,1279.229331790774,1279.229331790774,23.12212008851456,23.12212008851456,23.12212008851456,-9.487546814364737,-9.487546814364737,-9.487546814364737,32.6096669028793,32.6096669028793,32.6096669028793,0.0,0.0,0.0,1302.3514518792886
191,2016-07-14,1279.0803525867652,1270.4528610556254,1334.7772257031895,1279.0803525867652,1279.0803525867652,24.644221563442414,24.644221563442414,24.644221563442414,-9.213960470878007,-9.213960470878007,-9.213960470878007,33.85818203432042,33.85818203432042,33.85818203432042,0.0,0.0,0.0,1303.7245741502077
192,2016-07-15,1278.9313733827564,1272.2930173280945,1337.0369441503083,1278.9313733827564,1278.9313733827564,26.97975235231956,26.97975235231956,26.97975235231956,-8.333847159675871,-8.333847159675871,-8.333847159675871,35.313599511995434,35.313599511995434,35.313599511995434,0.0,0.0,0.0,1305.911125735076
193,2016-07-18,1278.4844357707295,1278.0092739836102,1344.8111313586535,1278.4844357707295,1278.4844357707295,32.05657023020862,32.05657023020862,32.05657023020862,-8.877093458854782,-8.877093458854782,-8.877093458854782,40.933663689063394,40.933663689063394,40.933663689063394,0.0,0.0,0.0,1310.541006000938
194,2016-07-19,1278.3354565667207,1279.044226966892,1346.6699777482484,1278.3354565667207,1278.3354565667207,33.73698642237715,33.73698642237715,33.73698642237715,-9.467416299062835,-9.467416299062835,-9.467416299062835,43.20440272143998,43.20440272143998,43.20440272143998,0.0,0.0,0.0,1312.072442989098
195,2016-07-20,1278.1864773627115,1282.1288883575469,1346.751840652205,1278.1864773627115,1278.1864773627115,36.16381440106571,36.16381440106571,36.16381440106571,-9.487546814364835,-9.487546814364835,-9.487546814364835,45.65136121543055,45.65136121543055,45.65136121543055,0.0,0.0,0.0,1314.3502917637772
196,2016-07-21,1278.0374981587026,1286.8003058187774,1349.9491655509466,1278.0374981587024,1278.0374981587024,39.04020723651416,39.04020723651416,39.04020723651416,-9.213960470858538,-9.213960470858538,-9.213960470858538,48.2541677073727,48.2541677073727,48.2541677073727,0.0,0.0,0.0,1317.0777053952168
197,2016-07-22,1277.8885189546938,1287.5185795586285,1352.201469875393,1277.8885189546938,1277.8885189546938,42.65451835795664,42.65451835795664,42.65451835795664,-8.33384715972288,-8.33384715972288,-8.33384715972288,50.98836551767952,50.98836551767952,50.98836551767952,0.0,0.0,0.0,1320.5430373126505
198,2016-07-25,1277.441581342667,1294.070792514327,1362.5399084135834,1277.441581342667,1277.441581342667,50.8076591255837,50.8076591255837,50.8076591255837,-8.877093458898228,-8.877093458898228,-8.877093458898228,59.68475258448193,59.68475258448193,59.68475258448193,0.0,0.0,0.0,1328.2492404682507
199,2016-07-26,1277.2926021386581,1300.650835013341,1364.5682616574004,1277.2926021386581,1277.2926021386581,53.17045141582033,53.17045141582033,53.17045141582033,-9.467416299054547,-9.467416299054547,-9.467416299054547,62.63786771487487,62.63786771487487,62.63786771487487,0.0,0.0,0.0,1330.4630535544784
200,2016-07-27,1277.143622934649,1303.4493974394786,1367.2948449071,1277.143622934649,1277.143622934649,56.07200162429696,56.07200162429696,56.07200162429696,-9.487546814364936,-9.487546814364936,-9.487546814364936,65.55954843866189,65.55954843866189,65.55954843866189,0.0,0.0,0.0,1333.215624558946
201,2016-07-28,1276.99464373064,1303.3800758920363,1366.5937779810176,1276.99464373064,1276.99464373064,59.20027900994245,59.20027900994245,59.20027900994245,-9.213960470866926,-9.213960470866926,-9.213960470866926,68.41423948080937,68.41423948080937,68.41423948080937,0.0,0.0,0.0,1336.1949227405826
202,2016-07-29,1276.8456645266313,1309.3626456176955,1374.8094939561229,1276.8456645266313,1276.8456645266313,62.83342031697209,62.83342031697209,62.83342031697209,-8.333847159678498,-8.333847159678498,-8.333847159678498,71.1672674766506,71.1672674766506,71.1672674766506,0.0,0.0,0.0,1339.6790848436033
203,2016-08-01,1276.3987269146044,1312.749987806751,1378.199622642388,1276.3987269146044,1276.3987269146044,69.62244556181658,69.62244556181658,69.62244556181658,-8.87709345885173,-8.87709345885173,-8.87709345885173,78.49953902066832,78.49953902066832,78.49953902066832,0.0,0.0,0.0,1346.021172476421
204,2016-08-02,1276.2497477105956,1317.4291098382614,1380.0015098453114,1276.2497477105956,1276.2497477105956,71.07674270447872,71.07674270447872,71.07674270447872,-9.467416299061826,-9.467416299061826,-9.467416299061826,80.54415900354056,80.54415900354056,80.54415900354056,0.0,0.0,0.0,1347.3264904150742
205,2016-08-03,1276.1007685065865,1317.069620501909,1379.8024170568872,1276.1007685065865,1276.1007685065865,72.86598920190896,72.86598920190896,72.86598920190896,-9.487546814364643,-9.487546814364643,-9.487546814364643,82.35353601627361,82.35353601627361,82.35353601627361,0.0,0.0,0.0,1348.9667577084954
206,2016-08-04,1275.9517893025777,1320.1426173293196,1381.5452009769933,1275.9517893025777,1275.9517893025777,74.6993297957802,74.6993297957802,74.6993297957802,-9.213960470862563,-9.213960470862563,-9.213960470862563,83.91329026664276,83.91329026664276,83.91329026664276,0.0,0.0,0.0,1350.6511190983579
207,2016-08-05,1275.8028100985687,1322.316701799194,1384.6708279731074,1275.802810098569,1275.802810098569,76.88031605842939,76.88031605842939,76.88031605842939,-8.333847159678774,-8.333847159678774,-8.333847159678774,85.21416321810815,85.21416321810815,85.21416321810815,0.0,0.0,0.0,1352.683126156998
208,2016-08-08,1275.355872486542,1323.4211605639973,1386.2400054028424,1275.355872486542,1275.355872486542,78.67376434051802,78.67376434051802,78.67376434051802,-8.877093458873667,-8.877093458873667,-8.877093458873667,87.5508577993917,87.5508577993917,87.5508577993917,0.0,0.0,0.0,1354.0296368270601
209,2016-08-09,1275.206888834023,1321.0140731764998,1385.6395524108345,1275.206888834023,1275.206888834023,78.36258998888727,78.36258998888727,78.36258998888727,-9.467416299053536,-9.467416299053536,-9.467416299053536,87.83000628794082,87.83000628794082,87.83000628794082,0.0,0.0,0.0,1353.5694788229102
210,2016-08-10,1275.0579051815039,1323.0299620656663,1386.8970608968555,1275.0579051815039,1275.0579051815039,78.39533190413573,78.39533190413573,78.39533190413573,-9.48754681436501,-9.48754681436501,-9.48754681436501,87.88287871850075,87.88287871850075,87.88287871850075,0.0,0.0,0.0,1353.4532370856396
211,2016-08-11,1274.9089215289848,1321.3402467373521,1386.5255906327384,1274.9089215289848,1274.9089215289848,78.51636737357529,78.51636737357529,78.51636737357529,-9.213960470883704,-9.213960470883704,-9.213960470883704,87.73032784445898,87.73032784445898,87.73032784445898,0.0,0.0,0.0,1353.4252889025602
212,2016-08-12,1274.7599378764658,1319.3412347253284,1386.129177169501,1274.7599378764658,1274.7599378764658,79.06307147352545,79.06307147352545,79.06307147352545,-8.33384715972578,-8.33384715972578,-8.33384715972578,87.39691863325123,87.39691863325123,87.39691863325123,0.0,0.0,0.0,1353.8230093499913
213,2016-08-15,1274.3129869189086,1319.387943321612,1383.8707087272287,1274.3129869189086,1274.3129869189086,76.72118454352433,76.72118454352433,76.72118454352433,-8.877093458895605,-8.877093458895605,-8.877093458895605,85.59827800241993,85.59827800241993,85.59827800241993,0.0,0.0,0.0,1351.0341714624328
214,2016-08-16,1274.1640032663895,1317.2100879166096,1381.3771288577475,1274.1640032663895,1274.1640032663895,75.36894926912957,75.36894926912957,75.36894926912957,-9.467416299072392,-9.467416299072392,-9.467416299072392,84.83636556820196,84.83636556820196,84.83636556820196,0.0,0.0,0.0,1349.5329525355191
215,2016-08-17,1274.0150196138704,1315.4371039722284,1380.9124227353193,1274.0150196138704,1274.0150196138704,74.55875771309601,74.55875771309601,74.55875771309601,-9.487546814364453,-9.487546814364453,-9.487546814364453,84.04630452746048,84.04630452746048,84.04630452746048,0.0,0.0,0.0,1348.5737773269664
216,2016-08-18,1273.8660359613514,1317.2846851166319,1380.8443925793213,1273.8660359613514,1273.8660359613514,74.04483487204682,74.04483487204682,74.04483487204682,-9.213960470864235,-9.213960470864235,-9.213960470864235,83.25879534291104,83.25879534291104,83.25879534291104,0.0,0.0,0.0,1347.9108708333981
